"Name","PriceRange","Address"
"Artefes Hotel Istanbul","$89 - $223*","294926.json"
"Sarnic Hotel","$93 - $348*","Kucuk Ayasofya Caddesi No. 26 Sultanahmet, Istanbul 34400, Turkey "
"Hotel Fehmi Bey","$98 - $131*","Ucler Sokak No 15 | Sultanahmet, Istanbul 34440, Turkey "
"Nena Hotel","$125 - $787*","Klodfarer Cad. | No:8-10 Sultanahmet, Istanbul 34122, Turkey "
"Dersaadet Hotel Istanbul","$167 - $313*","Kucuk Ayasofya Cad. Kapiagasi Sokak No:5 | Sultanahmet ( Old City District), Istanbul 34400, Turkey "
"Hotel Turkoman","$144 - $237*","Asmali Cesme Sokak no:2 | Sultanahmet, Istanbul 34122, Turkey "
"Alzer Hotel","$104 - $301*","At MeydanI No:72 Sultanahmet, Istanbul 34122-1, Turkey "
"Celal Sultan Hotel","$114 - $387*","Yerebatan Cad. Salkim sogut sok. no: 16, Istanbul 34110, Turkey "
"Arena Hotel","$117 - $423*","Kucukayasofya Mah. Sehit Mehmet Pasa Yokusu Ucler Hamam Sk. No: 13-15 | Sultanahmet, Istanbul 34400, Turkey "
"Avicenna Hotel","$77 - $502*","294942.json"
"Ibrahim Pasha Hotel","$144 - $335*","294943.json"
"Blue House Hotel","$126 - $408*","Dalbasti Sokak No.14 Sultanahmet, Istanbul 34110, Turkey "
"Sultanahmet Palace Hotel","$154 - $276*","294945.json"
"Armada Hotel","$91 - $323*","Ahirkapi Sok. No:24 | Cankurtaran, Fatih, Istanbul 34122, Turkey "
"Pera Palace Hotel","$263 - $573*","294949.json"
"Hotel Yesil Ev","$223 - $591*","294950.json"
"Eresin Crown Hotel - Sultanahmet","$236 - $462*","Kucukayasofya Cad. No:40 | Sultanahmet, Istanbul 34122, Turkey "
"Hacienda Maria Bonita","$64 - $100*"," Avenue 10N, 215 between 10 y 12, Playa del Carmen 77710, Mexico  "
"Adela Airport Hotel","$100 - $200*","Londra Asfalti Uzeri 38, Istanbul 34510, Turkey "
"Yigitalp Hotel","$72 - $141*","38 Cukur Cesme Sok | Sehzadebasi, Istanbul 34470, Turkey "
"Romance Hotel","$97 - $319*","Hudavendigar Caddesi No:7 | Sirkeci, Istanbul 34410, Turkey "
"Hotel Prince","$113 - $334*","Nobethane Caddesi Kargili Sok. No: 5 | Sultanahmet, Istanbul 34113, Turkey "
"Yasmak Sultan Hotel","$112 - $437*","Ebusuud Caddesi No:18-20 | Sirkeci, Istanbul 34410, Turkey "
"Arcadia Hotel","$108 - $399*","Dr. Imran Oktem Cad. No:1 | Sultanahmet, Istanbul 34400, Turkey "
"Madison Hotel","$183 - $500*","Receppasa Caddesi 15 | Taksim, Istanbul 34437, Turkey "
"Lion Hotel","$139 - $207*","Lamartine Cad No 41 | Taksim, Istanbul 80090, Turkey "
"Golden Age 1 Hotel","$149 - $226*","Topcu Cad No 22 | Taksim, Istanbul 80090, Turkey "
"Crystal Hotel","$131 - $284*","Receppasa Caddesi No:7 | Taksim, Istanbul 80090, Turkey "
"Taksim Gonen Hotel","$169 - $369*","Aydede Cad No 15 | Taksim, Istanbul 80090, Turkey "
"Taksim Square Hotel","$70 - $120*","Siraselviler Cad No 15 | Taksim, Istanbul 34340, Turkey "
"Allstar Euro Plaza Hotel","$80 - $225*","Tarlabasi Bulvari 292 | Tepebasi, Istanbul 80070, Turkey "
"Taxim Hill Hotel","$151 - $311*","Siraselviler Cad. No.5 Taksim Meydani, Istanbul 80090, Turkey "
"Elite Hotel Kucukyali","$84 - $528*","Cumhuriyet Caddesi Tan Sokak No:4 | Kucukyali Sahil Mevkii, Istanbul 81580, Turkey "
"Richmond Hotel Istanbul","$155 - $407*","Istiklal Caddesi No 227 Tunel | Beyoglu, Istanbul 80670, Turkey "
"LaresPark Hotel","$113 - $328*","295061.json"
"Birbey Hotel","$50 - $83*","Kemalpasa Mah Mektep Sk 1-3 | Aksaray, Istanbul, Turkey "
"Hotel Sogut","$106 - $162*","Bukali dede Sk 11-13 | Sehzadebasi, Istanbul 34470, Turkey "
"Feronya Hotel","$120 - $164*","Nispet Sk, 9 34437 Cumhuriyet Cd, Istanbul 80090, Turkey "
"Grand Yavuz Hotel","$81 - $302*","Piyerloti Caddesi No: 71/B | Sultanahmet, Istanbul 34126, Turkey "
"Sunlight Hotel","$68 - $571*","Piyerloti Cad 60 | Sultanahmet, Istanbul 34490, Turkey "
"Golden Age 2","$169 - $317*","Abdulhakhamit 40-42 | Taksim, Istanbul 34437, Turkey "
"Maya Hotel","$70 - $100*","5 Fevziye Caddesi | Sehzadebasi, Istanbul 34470, Turkey "
"Days Inn London Westminster","$127 - $140*"," 80-86 Belgrave Road, London SWIV 2BJ , England  "
"Bentley Hotel","$165 - $240*","Halaskargazi Cad. No. 75 | Harbiye, Istanbul 80220, Turkey "
"Hotel Sari Konak","$130 - $374*","Mimar Mehmet Aga Cad. No:42 - 46 | Sultanahmet, Istanbul 34400, Turkey "
"Ayasofya Konaklari","$105 - $223*","Sogukcesme Street, Sultanahmet, Istanbul 34122, Turkey (Formerly Ayasofya Pension)"
"Holiday Inn Express Las Vegas South","$104 - $166*"," 5760 Polaris Ave, Las Vegas, NV 89118  "
"Holiday Inn Express Madrid-Rivas","$61 and up*","Avenida De La Tecnica 8, 28529 Madrid, Spain "
"Hotel Villa Suite","$166 - $227*","Siraselviler Caddesi 49 | Taksim, Istanbul 80090, Turkey (Formerly Dilson Hotel)"
"Bosphorus Palace","$224 - $942*","Yaliboyu Cad 64 | Beylerbeyi, Istanbul 34676, Turkey "
"Cinar Hotel","$158 - $240*","Fener Mevkii | Yesilkoy, Istanbul 34149, Turkey "
"Eysan Hotel","$50 - $90*","Rihtim Caddesi 26 | KadikÃ¶y, Istanbul, Turkey "
"Harem Hotel","$72 - $171*","Ambar Sokak 2 | Selimiye, Istanbul 34668, Turkey "
"Hotel Valide Sultan Konagi","$131 - $416*","Cankurtaran Mah. Kutlugun Sok. No/1 Sultanahmet, Istanbul 34122, Turkey "
"Kariye Hotel","$34 - $80*","60 Piyer Loti Caddesi | Kariye camii sk. No:18, Istanbul 34490, Turkey "
"Kybele Hotel","$183 - $1,299*","Yerebatan Caddesi 35 | Sultanahmet, Istanbul 34410, Turkey "
"Pierre Loti Hotel","$137 - $370*","Piyerloti Cad. No: 1 Sultanahmet | Cemberlitas, Istanbul 34400, Turkey "
"Vardar Palace Hotel","$70 - $127*","Syraselviler Caddesi No.16 Taksim, Istanbul 34433, Turkey "
"Yenisehir Palas Hotel","$121 - $202*","1-3 Mesrutiyet Cad, Oteller Sok, Istanbul 34330, Turkey "
"Antik Hotel","$104 - $238*","Ordu Cad Sekbanbasi Sok No 10 | Beyazit, Istanbul 34490, Turkey "
"Avlonya Hotel","0","59 Kucuk Langa Caddesi 52415, Istanbul, Turkey "
"Empress Zoe","$72 - $171*","Akbiyik Cad. Adliye Sok. No:10 | Sultanahmet, Istanbul 34400, Turkey "
"Ararat Hotel","$105 - $158*","Torun Sokak No:3 | Sultanahmet, Istanbul 34400, Turkey "
"Poem Hotel Istanbul","$102 - $160*","Akbiyik Caddesi | Terbiyik Sok. No:12, Sultanahmet, Istanbul 34400, Turkey "
"Kent Hotel Istanbul","$144 - $486*","Ordu Cad. No:2/4 Beyazit, Istanbul 34490, Turkey "
"Nomade Hotel","$112 - $263*","Divanyolu Caddesi, 15 Ticarethane Sokak | Sultanahmet, Istanbul 34410, Turkey "
"Orient Express Hotel","$101 - $194*","Hudavendigar Caddesi 34 | Sirkeci, Istanbul 34410, Turkey "
"Charming House DD724","$210 - $580*","Dorsoduro 724, 30123 Venice, Italy "
"Plaza Marina Condos","0"," Avenida 5a, Playa del Carmen 77710, Mexico  "
"WorldMark San Diego","$115 - $179*"," 1110 A Street, San Diego, CA 92101 (Formerly Staybridge Suites Downtown) "
"Mayan Palace Riviera Maya","0"," Km 48 carretera Federal | Cancún - Playa del Carmen, Playa del Carmen 77710 , Mexico  "
"Hilton Memphis","$108 - $183*"," 939 Ridge Lake Boulevard, Memphis, TN 38120  "
"Troya Hotel","$98 - $184*","Tepebasi, Mesrutiyet Caddesi. No:45 | Beyoglu, Istanbul 80050, Turkey "
"Golden Horn Sultanahmet Hotel","$155 - $239*","Binbirdirek Mah. Binbirdirek Meydani Sok. No:148 | Sultanahmet, Istanbul 34400, Turkey "
"Hotel Old Quarter","$70 - $201*","Warmoestraat 22, Amsterdam 1012 JD, The Netherlands "
"Hotel Alp Guesthouse","$46 - $118*","Sultanahmet Adliye Sokak 4, 34400 | Sultanahmet, Istanbul 34490, Turkey "
"Hotel Sebnem","$46 - $105*","1 Adliye Sokak 52154 | Sultanahmet, Istanbul 34400, Turkey "
"Berr Hotel","$98 - $225*","Akdeniz Cad. No 78 | Fatih, Istanbul 34080, Turkey "
"Ambassador Hotel","$105 - $261*","Divanyolu Ticarethane Sokak No: 19, Istanbul 34420, Turkey "
"Ramada Istanbul Old City","$132 - $215*","Millet Cad No. 82 | Findikzade, Istanbul 34270, Turkey "
"Hotel Zurich","$131 - $459*","Vidinli Tevfik Pasa Cad Harikzadeler Sok No 37, Istanbul 34470, Turkey "
"Carlton Hotel","$92 - $186*","296330.json"
"Germir Palas Hotel","$118 - $236*","Cumhuriyet Caddesi No 7 | Taksim, Istanbul 80090, Turkey "
"Dedeman Hotel Istanbul","$181 - $339*","Yildiz Posta Caddesi, 50 | Esentepe, Istanbul 34394, Turkey "
"Hotel Saba","$97 - $211*","Binbirdirek mah. Sehit Mehmet Pasa Yokusu Sokak No 8 | Sultanahmet, Istanbul 34400, Turkey "
"Sevcan Hotel","$72 - $98*","Londra Asfalti 44 | Florya, Istanbul 34810, Turkey "
"Yusufpasa Konagi Hotel Istanbul","$77 - $1,282*","Cankurtaran Cad. No:34 | Fatih, Istanbul 34122, Turkey "
"Hotel de L'Eau Vive","$173 and up*","315 Tchoupitoulas Street, New Orleans, LA 70130 "
"Classics Hotel Bastille","$127 - $320*"," 131, rue de Charonne | 11th Arr., 75011 Paris, France  "
"Albatros Premier Hotel","$98 - $336*","Kucukayasofya MahallesI cayIroglu sok no:1 Sultanahmet | Ä°STANBUL SULTANAHMET, Istanbul 34122, Turkey "
"Albion Hotel Boutique","$95*","Alaykosku Cad. No:15 | Sultanahmet, Istanbul 34110, Turkey "
"Hotel Taksim Butik Star","$96 - $222*","SIraselviler Cd No 37 | Taksim, Istanbul 34437, Turkey "
"Erguvan Hotel","$113 - $386*","296381.json"
"Golden Crown Hotel","$84 - $379*","Piyer Loti str. No : 10 | Ãâ¡emberlitaÅÅ¸ - Sultanahmet, Istanbul 34490, Turkey "
"Hippodrome Hotel","$93 - $267*","Mimar Mehmetaga Caddesi No.38 Sultanahmet, Istanbul 34400, Turkey "
"Historia Hotel","$93 - $647*","Mimar Mehmet Aga Cad | Amiral Tafdil Sk No 23 Sultanahmet, Istanbul 34400, Turkey "
"Sude Konak Hotel","$74 - $170*","Ebusuut 24 34412 | Sirkeci, Istanbul 34410, Turkey "
"Aziyade Hotel","$110 - $411*","Piyerloti Cad. No:30, Istanbul 34490, Turkey "
"Hotel Bulvar Palas","$93 - $352*","296428.json"
"Cihangir Hotel","$116 - $129*","Aslan YatagI Sokak 33, Istanbul, Turkey "
"Grand Hotel Halic","$98 - $204*","Refik Saydam Caddesi TepebasI BulvarI 37, Istanbul 34430, Turkey "
"Hotel Grand Star","$102 - $225*","Siraselviler Caddesi No:45/1 | Taksim, Istanbul 34437, Turkey "
"Gunes Hotel","$83 - $340*","296433.json"
"Hotel Vicenza","$113 - $376*","Fevziye Caddesi 3 | Sehzadebasi, Istanbul 34470, Turkey "
"Istanbul Royal Hotel","$105 - $397*","Aksaray Str. No. 16 Laleli | Fatih, Istanbul 34480, Turkey "
"Metropol Hotel","$59 - $210*","Ibni Kemal Caddesi, 38 | Sirkeci, Istanbul, Turkey "
"Pantages Hotel Toronto Centre","$139 - $292*"," 200 Victoria Street, Toronto, Ontario M5B 1V8 , Canada  "
"Hotel Le Saint Andre","$79 - $139*","1285 rue St-Andre, Montreal, Quebec H2L 3T1, Canada "
"Carlito's Way Hotel and Hostel","$108 - $198*","Via Villafranca 10, 00185 Rome, Italy "
"Hotel ai Tolentini","$119 - $224*","Santa Croce 197/G Calle Tron, 30100 Venice, Italy "
"And Hotel","$118 - $429*","Yerebatan Cad Cami Cikmazi No:36-40 | Sultanahmet, Istanbul 34410, Turkey "
"Antea Hotel","$39 - $105*","Piyerloti Cad. 21, Cemberlitas | Sultanahmet, Istanbul 80860, Turkey "
"Barin Hotel","$81 - $138*","296568.json"
"Erboy Hotel","$72 - $108*","Ebusuud Street 18 Eminonu, Istanbul 34210, Turkey "
"Hotel Ilkay","$64 - $111*","Hudavendigar Street No: 44-46 | Eminonu, Istanbul 34210 , Turkey "
"Santa Sophia Hotel","$72 - $449*","296579.json"
"Taksim Star Express Hotel","$68 - $580*","Ismet Inonu Caddesi-Dunya Saglik Sk No 11-13 | Taksim, Istanbul 34437, Turkey "
"Hotel Inter Istanbul","$72 - $138*","Mithatpasa Cad. Buyuk Haydar Efendi Sok. No: 29 | Beyazit, Istanbul 34490, Turkey "
"Hotel Galerij","$66 - $186*","Raadhuisstraat 43, Amsterdam 1016 DD, The Netherlands "
"Hotel Luxer","$157 - $301*","Warmoesstraat 11, Amsterdam 1012 HT, The Netherlands "
"Hotel Multatuli","$152 - $212*","Prins Hendrikkade 12, Amsterdam 1012 TL, The Netherlands "
"Hotel Neutraal","$87 - $157*","Damrak 8, Amsterdam 1012 LG, The Netherlands "
"Hotel Torenzicht","$62 - $251*","Oudezijds Achterburgwal 93, Amsterdam 1012 DD, The Netherlands "
"Hotel Alhambra","$95 - $144*"," Calle 8 con playa MZ 4 N 876 | Beach Front, Playa del Carmen 77710, Mexico  "
"Istanbul Conti","$81 - $263*","Ortaklar Caddesi 30 | Mecidiyekoy, Istanbul 80290, Turkey "
"Hotel Seven one Seven","$462 - $594*","Prinsengracht 717, Amsterdam 1017 JW, The Netherlands "
"Tryp Centro Norte Apartamentos","$72 and up*","C/ Mauricio Legendre 16, 28046 Madrid, Spain "
"Austin's Arts et Metiers Hotel","$132 - $228*"," 6 rue montgolfier | 3rd Arr., 75003 Paris, France  "
"Hotel Acropoli","$51 - $1,317*","Via Principe Amedeo 63-67, 00185 Rome, Italy "
"Season Star Hotel","$121 - $317*","Martelaarsgracht 18, Amsterdam 1012 TR, The Netherlands "
"Bianca Hotel","$66 - $330*","Via Volturno 48, 00185 Rome, Italy "
"Casa Sant'Andrea","$77 - $208*","Santa Croce 495/b, 30135 Venice, Italy "
"Hotel Soft","$125 - $225*"," 52 bis rue des Vinaigriers, 75010 Paris, France  "
"Fuar Hotel","$66 - $79*","Namik Kemal Caddesi 26, Istanbul 34300, Turkey "
"Hali Hotel","$59 - $125*","Klodfarer Cd. No:20 | Sultanahmet, Istanbul, Turkey "
"Seres Hotel","$80 - $131*","Hudavendigar Caddesi 49 | Sirkeci, Istanbul 34420, Turkey "
"Hotel Pulitzer","$144 - $1,188*","Calle Bergara 8, 08002 Barcelona, Spain "
"Hotel Jazz","$156 - $276*","Pelai 3, 08001 Barcelona, Spain "
"Confortel Alcala Norte","$57 and up*","Calle San Romualdo 30, 28037 Madrid, Spain "
"Turkuaz Hotel","0","74 sk, 48300 Koca CalIs Mevkii, Istanbul 34400, Turkey "
"High Tech Petit Palace Arenal","$96 and up*","Calle Arenal 16 | Puerta del Sol And Mayor Square, 28013 Madrid, Spain "
"Urban Hotel Madrid","$209 - $395*","296957.json"
"Hotel Galeno","$58 - $188*","Via dei Villini 10, 00161 Rome, Italy "
"Hotel Milo","$74 - $178*","Via Principe Amedeo 76, 00185 Rome, Italy "
"Paisiello Parioli Hotel","$66 - $139*","Via Paisiello 47, 00198 Rome, Italy "
"Hotel Parker","$92 - $237*","Via Giolitti, 431, 00185 Rome, Italy "
"Villa Porpora","0","Via Nicolo Porpora 15, 00198 Rome, Italy "
"Villa San Lorenzo Maria Hotel","$58 - $216*","Via dei Liguri 7, 00185 Rome, Italy "
"Hotel Villa San Pio","$91 - $321*","Via S Melania 19, 00153 Rome, Italy "
"Hotel Las Golondrinas","$72 - $158*"," Av.Constituyentes 178, entre av 15 y 20 | col centro, Playa del Carmen 77710, Mexico  "
"Hotel Pension San Juan","$40 - $125*"," 5ta Ave num 165 entre 6y8 calle /st | Andador turistico/tourist pedestrian walkway, Playa del Carmen 77710, Mexico  "
"Mayaguez Resort & Casino","$185 - $230*","297785.json"
"Grand Hotel","$119 - $176*","30 Hunter Street, Sydney, New South Wales 2000, Australia "
"Harbour View Hotel","0","18 Lower Fort Street | The Rocks, Sydney, New South Wales 2000, Australia "
"Hotel Bondi","0","298403.json"
"The Mercantile Hotel","0","298404.json"
"Sydney Central on Wentworth","$92 - $163*","75 Wentworth Avenue, Sydney, New South Wales 2000, Australia "
"1A Apartment Guesthouse and Hotel","$56 - $95*","Milastrasse 6, 10437 Berlin, Germany "
"Macquarie Boutique Hotel","$119 - $140*","42 Wentworth Avenue, Sydney, New South Wales 2000, Australia "
"Hotel Panda","$90 - $251*","Via della Croce, 35, 00187 Rome, Italy "
"Holiday Inn Golden Mile","$199 and up*","No.50 Nathan Rd, Tsimshatsui, Hong Kong, China "
"InterContinental Singapore","$216 - $470*","299199.json"
"Crowne Plaza Hotel Dubai","$131 - $353*"," Sheikh Zayed Rd, Al Nahyan Road | PO Box 23215, Dubai 23215, United Arab Emirates  "
"Holiday Inn Downtown Dubai","$127 - $206*"," Al Rigga rd, Dubai 29499, United Arab Emirates  "
"Ibis Century Hotel (Hongkong North Point)","$84 and up*","No.138 Java Road, North Point, Hong Kong, China "
"Rendezvous Hotel Singapore","$186 - $295*","9 Bras Basah Road, Singapore 189559, Singapore "
"Quality Hotel Singapore","$131 - $200*","201 Balestier Road, Singapore 329926, Singapore "
"Novotel World Trade Centre Dubai","$90 - $322*"," Zabeel Road 2nd | PO Box 9622, Dubai, United Arab Emirates  "
"Ibis World Trade Centre Dubai","$66 - $278*"," Sheikh Zayed Rd | PO Box 9544, Dubai, United Arab Emirates  "
"City Centre Hotel Residence","$142 - $257*"," PO Box 61871, Dubai 61871, United Arab Emirates  "
"Avari Dubai Hotel","$90 - $229*"," Adjacent to Al Riqqa Post Office | P.O. Box 50400, Dubai 50400, United Arab Emirates  "
"Marriott Hotel Singapore","$342 - $539*","320 Orchard Road, Singapore 238865, Singapore "
"JW Marriott Hotel Dubai","$185 - $429*"," Abu Baker Al Siddique Road | Adjacent to the Hamarain Shopping Center, Dubai 16590, United Arab Emirates  "
"Crowne Plaza Dubai-Deira","$120 - $314*"," Salahuddin Road, Deira | Deira, Dubai 8668, United Arab Emirates  "
"Grand Mercure Roxy Singapore","$152 - $271*","50 East Coast Road, Roxy Square, Singapore 428769, Singapore "
"Holiday Inn Express Chicago-Midway Airport","$139 - $193*"," 6500 South Cicero Ave, Chicago, IL 60638  "
"Myer's Hotel - Berlin","$75 - $589*","Metzer Strasse 26, 10405 Berlin, Germany "
"Furama RiverFront","$203 - $285*","405 Havelock Road, Singapore 169633, Singapore "
"JW Marriott Hotel Hong Kong","$395 and up*","Pacific Place, 88 Queensway, Hong Kong, China "
"Ibis Berlin City West","$76 - $144*","Brandenburgische Strasse 11 - Wilmersdorf, 10713 Berlin, Germany (Formerly Ibis Berlin Fehrbelliner Platz)"
"Ibis Paris Bastille St Antoine","$123 - $220*"," 13 Rue Trousseau | 11th Arr., 75011 Paris, France  "
"Mandarin Orchard Singapore","$227 - $403*","333 Orchard Road, Singapore 238867, Singapore "
"Marina Mandarin Singapore","$212 - $522*","6 Raffles Boulevard,Marina Square, Singapore 039594, Singapore "
"Pan Pacific Orchard","$224 - $820*","10 Claymore Road, Singapore 229540, Singapore (Formerly Negara on Claymore)"
"Novotel Singapore Clarke Quay","$177 - $342*","301010.json"
"The Excelsior, Hong Kong","$246 and up*","No.281 Gloucester Road, Causeway Bay, Hong Kong, China "
"The Regent Singapore","$221 - $439*","1 Cuscaden Rd, Singapore 249715, Singapore "
"Mandarin Oriental, Singapore","$337 - $530*","5 Raffles Ave, Marina Square, Singapore 039797, Singapore "
"Goodwood Park Hotel","$202 - $513*","22 Scotts Rd, Singapore 228221, Singapore "
"Regent Palace Hotel","$59 - $449*"," Sheikh Khalifa Bin Zayed Road | PO Box 26816, Dubai, United Arab Emirates  "
"Regent Beach Resort","$82 - $490*"," Jumeirah 1 Road Street 39A | PO Box 27160, Dubai 87075, United Arab Emirates  "
"Regal Plaza Dubai","$54 - $346*"," 1A St | PO Box 55808, Dubai 26843, United Arab Emirates  "
"Princess Hotel","$41*"," Al Nahdha Rd | nr Airport Terminal 2, Dubai, United Arab Emirates  "
"Ramee International Hotel Dubai","$44 - $174*"," near Omar Al Kattab Rd, Nasser Square, Dubai, United Arab Emirates  "
"Ramee Apartment Hotel","$52 - $114*"," Al Rolla Street | PO Box 55808, Dubai 27053, United Arab Emirates  "
"Al Sondos Suites by Le Meridien","$87 - $208*"," Opposite Deira City Centre | Deira, Dubai 113562, United Arab Emirates  "
"Dar Al Sondos Hotel Apartments by Le Meridien","$71 - $172*"," Bur Dubai Rolla Street, Dubai 113562, United Arab Emirates  "
"Swissotel The Stamford","$217 - $452*","2 Stamford Road, Singapore 178882, Singapore "
"Le Meridien Residence Deira","$109*"," Al maktoum Road and 15th st, Dubai, United Arab Emirates  "
"Swissotel Merchant Court","$187 - $427*","20 Merchant Road, Singapore 058281, Singapore "
"Fairmont Singapore","$223 - $490*","80 Bras Basah Rd, Singapore 189560, Singapore "
"Raffles Hotel Singapore","$570 - $980*","1 Beach Road, Singapore 189673, Singapore "
"Copthorne King's Hotel Singapore","$150 - $306*","403 Havelock Road, Singapore 169632, Singapore "
"Copthorne Orchid Hotel Singapore","$88 - $192*","214 Dunearn Road, Singapore 299526, Singapore "
"Grand Copthorne Waterfront Hotel","$173 - $640*","392 Havelock Road, Singapore 169663, Singapore "
"M Hotel Singapore","$152 - $354*","81 Anson Road, Singapore 079908, Singapore "
"Millennium Airport Hotel Dubai","$74 - $456*"," Airport Road, Casablanca Street | Al Garhoud, PO Box 13018, Dubai, United Arab Emirates  "
"Coral Deira Dubai","$65 - $327*"," Al Muraqabat Street | PO Box 82999, Deira, Dubai, United Arab Emirates  "
"Grand Country Inn","$98 and up*","1945 West Highway 76, Branson, MO 65616 "
"Sheraton Towers Singapore","$231 - $461*","39 Scotts Road, Singapore 228230, Singapore "
"Sheraton Dubai Creek Hotel and Towers","$105 - $506*"," Baniyas Street, Creek Road | P.O. Box 4250, Dubai, United Arab Emirates  "
"Four Points by Sheraton Bur Dubai","$85 - $287*"," Khalid Bin Waleed Street | \"Bank Street,\" Bur Dubai, Dubai 33196, United Arab Emirates  "
"Four Seasons Hotel Singapore","$346 - $653*","301897.json"
"Moevenpick Hotel Istanbul","$183 - $369*","Buyukdere Caddesi | 4 Levent, Istanbul 34330, Turkey "
"Furama City Centre","$192 - $281*","60 Eu Tong Sen Street, Singapore 059804, Singapore "
"Traders Hotel Singapore","$197 - $641*","1A Cuscaden Road, Singapore 249716, Singapore "
"Shangri-La Hotel","$312 - $597*","22 Orange Grove Rd., Singapore 258350, Singapore "
"Regal Airport Hotel","$200 and up*","No.9 Cheong Tat Road, Hong Kong Intl Airport, Chek Lap Kok, Hong Kong, China "
"Regal Hongkong Hotel","$183 and up*","No.88 Yee Wo Street, Causeway Bay, Hong Kong, China "
"Regal Riverside Hotel","$91 and up*","34-36 Tai Chung Kiu Road | Sha Tin, New Territories, Hong Kong, China "
"Regal Oriental Hotel","$93 and up*","No.30-38 Sa Po Road, Kowloon, Hong Kong, China "
"Ritz-Carlton Millenia Singapore","$375 - $641*","7 Raffles Ave, Singapore 039799, Singapore "
"Guang Dong Hotel","$117 and up*","No.18 Prat Avenue, Tsimshatsui, Kowloon, Hong Kong, China "
"The Wharney Guang Dong Hotel Hong Kong","$119 and up*","No.57-73 Lockhart Road, Wanchai Bay, Hong Kong, China "
"Pan Pacific Singapore","$268 - $969*","7 Raffles Boulevard | Marina Square, Singapore 039595, Singapore "
"Jumeirah Emirates Towers Hotel","$162 - $653*"," Sheikh Zayed rd, Dubai, United Arab Emirates  "
"Hotel Nikko Hongkong","$204 and up*","No.72 Mody Road, Tsimshatsui East, Kowloon, Hong Kong, China "
"Concorde Hotel Singapore","$204 - $380*","302514.json"
"Hotel Design de la Sorbonne","$168 - $357*"," 6 rue Victor Cousin | 05 Arr., 75005 Paris, France  "
"Hotel le Notre Dame","$293 - $361*"," 1 quai Saint-Michel | 5th Arr., 75005 Paris, France  "
"Hotel La Sanguine","$113 - $185*"," 6 rue de Surene | 8th Arr., 75008 Paris, France  "
"Hotel Le Royal","$180 - $273*"," 212 boulevard Raspail | 14th Arr., 75014 Paris, France  "
"Carlton Inn Midway","$101 - $147*"," 4944 S. Archer Avenue, Chicago, IL 60632  "
"Sansi Diputacio Hotel","$157 - $275*","C/ Diputacio 234 - 236, 08007 Barcelona, Spain "
"Rydges Plaza Dubai","$57 - $177*"," Al Dhiyafa Street | Satwa Roundabout, Dubai, United Arab Emirates  "
"The Langham Hotel Hongkong","$289 and up*","No.8 Peking Road, Tsim Sha Tsui, Hong Kong, China "
"Sheraton Deira Hotel","$69 - $294*"," Al Muteena Street | PO Box 5772, Dubai, United Arab Emirates  "
"Sheraton Jumeirah Beach Resort","$157 - $539*"," Al Sufouh Road, P.O. Box 53567 | near The Walk at JBR, Dubai Marina, Dubai 53567, United Arab Emirates  "
"Royal Plaza on Scotts","$219 - $384*","25 Scotts Rd, Singapore 228220, Singapore "
"Florya Park Hotel","$72 - $92*","Londra Asfalti 44 | Florya, Istanbul 34810, Turkey "
"Akgun Hotel","$101 - $208*","304792.json"
"Galata Antique Hotel","$130 - $179*","Mesrutiyet Street No:119, Istanbul 34430, Turkey "
"The Green Park Taksim","$130 - $295*","Abdulhak Hamit Cad. No:50 | Taksim, Istanbul 80090, Turkey "
"Alkoclar Keban Hotel","$131 - $232*","Siraselviler cd. No:17 | Taksim, Istanbul 80090, Turkey "
"Nippon Hotel","$110 - $424*","Topcu Cd. No 6 | Taksim, Istanbul 34437, Turkey "
"Hotel Aslan Istanbul","$59 - $194*","304801.json"
"Blackbird Hotel","$92 - $463*","Gencturk Cad No 51 - 53 | Sehzadebasi, Istanbul 34740, Turkey "
"Cartoon Hotel","$130 - $261*","Tarlabasi Bulvari No.36-38 | Taksim, Istanbul 80080, Turkey "
"Taxim Suites","$201 - $374*","Cumuriyet cad. No 31 | Taksim, Istanbul 34437, Turkey "
"Grand Cevahir Hotel and Convention Center","$171 - $313*","Darulaceze Sokak No. 9 Sisli, Istanbul, Turkey "
"Hotel Petrol Palace","$51 - $85*","Dr. Eminpasa sok. N:1 | Sultanahmet, Fatih, Istanbul 34400, Turkey "
"Konak Hotel","$111 - $365*","Cumhuriyet Caddesi 75 | Elmadag-Taksim, Istanbul 34437, Turkey "
"Hotel Mina","$117 - $473*","6 Dostluk Yurdu Sokak | Sultanahmet, Istanbul 34400, Turkey "
"Mim Hotel Istanbul","$138 - $171*","Fulya Bayirl Ferah Sokak No 16, Istanbul 80200, Turkey "
"Hilton ParkSA Istanbul","$142 - $358*","Bayildim Caddesi No 12 | Macka, Istanbul 34357, Turkey "
"Pianoforte Hotel","$72 - $72*","Feyzullah Efendi Cd No. 17, Kiztasi-Fatih, Istanbul 34620, Turkey "
"Ramada Kaya Plaza","$178 - $223*","E-5 Otoyolu Tuyap Yani Beylikduzu, Istanbul 34900, Turkey "
"Surmeli Istanbul","$156 - $222*","Prof Dr Bulent Tarcan Sokak No 3 | Sisli, Istanbul 34349, Turkey "
"The Central Palace Hotel","$223 - $661*","Lamartin Caddesino No18 | Taksim, Istanbul 34037, Turkey "
